Season,Team,TG,W,L,G,IP,K9,BB9,HR9,BABIP,LOB,GB,HRFB,ERA,FIP,xFIP,release_pos_x,release_pos_z,release_pos_y,release_speed,pfx_x,pfx_z,release_spin_rate,spin_axis,n_primary_pitches,n_pitchers_used
2023,PHI,13,8,5,64,114.1,9.37,2.44,0.63,0.276,0.826,0.471,0.072,2.2,2.98,3.67,2.0358218094548275,0.4883698528152502,0.4046341806191536,5.697546102182935,0.9760477306418196,0.7623604476193262,298.2862154417649,63.24610718085417,5,12
2022,HOU,13,11,2,62,126.0,11.43,3.07,0.93,0.232,0.835,0.419,0.108,2.29,3.08,3.15,0.7753106527273766,0.5412373132821019,0.2312111655236258,3.5812757235768125,0.755792969558642,0.5085514491786284,200.01091096952382,45.707217420376026,3,12
2018,MIL,10,6,4,58,93.2,10.76,2.98,0.48,0.282,0.813,0.4679999999999999,0.069,2.31,2.62,3.19,2.0018858339891894,0.3950969822856998,0.5112920550373876,5.3662917001046395,0.7456560164874165,0.634607526781776,146.13245583965528,53.381280849482366,5,13
2021,ATL,16,11,5,80,140.0,9.96,3.21,0.84,0.293,0.7809999999999999,0.42,0.096,3.28,3.41,3.91,1.8372900060348791,0.4734065659221581,0.2828843791048723,4.6090398759123214,0.6744568359700364,0.7962244661861352,257.06166867974093,64.77417543511821,6,15
2019,WSH,17,12,5,66,153.0,10.24,3.35,1.35,0.275,0.8170000000000001,0.363,0.135,3.47,4.09,4.35,2.0560080913273024,0.42710243663753666,0.2095986232174607,5.302725653597196,0.6594033926927132,0.6866148948178106,216.8172539476565,52.090198565058415,5,12
2018,BOS,14,11,3,73,134.0,8.73,3.83,1.07,0.239,0.797,0.44,0.1169999999999999,3.29,4.21,4.34,2.1935408628233466,0.4290334843086007,0.389136123142696,2.726803754471053,0.9187839691937645,0.21067653855657692,128.11600210156257,38.192973847913755,2,11
2022,PHI,17,11,6,85,150.0,9.84,2.4,1.02,0.262,0.767,0.479,0.118,3.24,3.38,3.33,1.8350902828120201,0.39133747659964857,0.5398845645169935,5.519691162276532,0.9534881738499409,0.5248407839112526,225.52523293510686,43.98686113260708,6,14
2017,NYY,13,7,6,48,115.1,9.29,3.59,0.86,0.23,0.762,0.447,0.106,2.97,3.63,4.0,1.6139596943676398,0.3037739286493675,0.36718668838348784,6.510279955360504,0.7046129709903471,0.5540722488206611,144.3830025631769,46.269031031186444,4,11
2019,NYY,9,5,4,55,81.2,9.81,4.19,1.32,0.228,0.852,0.3939999999999999,0.15,2.87,4.45,4.49,2.08158495993845,0.3544672215259924,0.47690556122235594,6.395620802192809,0.8842156727284072,0.5960530510556664,321.4521287978689,51.158954398355,6,13
2023,AZ,17,10,7,89,152.1,8.63,3.66,1.24,0.267,0.772,0.4589999999999999,0.1369999999999999,3.54,4.45,4.32,1.9789934085674448,0.7757940182620213,0.2945897831569173,3.4742797007174713,0.847362567621753,0.6514500828180614,224.56152536560896,57.41624675522873,4,13
2019,HOU,18,10,8,84,161.0,10.12,3.58,1.57,0.278,0.805,0.364,0.151,3.8,4.47,4.51,1.0322279829284609,0.9790894670231802,0.22412583588267973,5.070339102054217,0.6756967975754458,0.5617963059996156,170.1215206101136,48.46333152027103,4,14
2023,TEX,17,13,4,79,155.0,7.49,3.14,0.93,0.288,0.754,0.4429999999999999,0.1009999999999999,3.83,4.06,4.41,1.9517380630186687,0.4779765179422397,0.4856117932841012,4.183476971556111,0.904555064779888,0.47645601330889303,190.1911803853785,50.62102448861567,3,14
2021,LAD,12,6,6,71,105.0,10.89,2.4,1.11,0.287,0.792,0.342,0.11,3.17,3.25,3.62,1.8854569548354647,0.35787825415730323,0.48184980517854104,4.460950529969153,0.7657840162974187,0.7810484419021024,191.25143414687557,66.1275631279309,5,13
2018,LAD,16,8,8,90,152.0,9.71,3.08,0.95,0.264,0.7490000000000001,0.4629999999999999,0.115,3.49,3.46,3.6,1.8986154043544237,0.24046861800351454,0.30147318529823597,2.6214628091931544,0.839190560445601,0.3409268634342605,191.9670687909348,38.37371562400654,4,13
2024,KC,6,3,3,33,53.0,8.49,5.26,0.68,0.248,0.856,0.417,0.074,2.55,4.07,4.63,1.9087013756126212,0.7178388839196699,0.48003885532419266,5.961088958241883,1.0020894765697896,0.5359139308472254,284.9210227071372,55.95731854917076,4,10
2022,CLE,7,4,3,31,68.0,10.85,3.04,1.32,0.19,0.857,0.421,0.159,2.65,3.76,3.22,1.2900503566903363,0.6776193515647921,0.3059218808639542,5.161780414105973,0.7605225576788828,0.4297275592609321,197.77445108084544,40.025459483918894,4,13
2017,LAD,15,10,5,81,135.2,8.96,2.26,1.92,0.207,0.871,0.4379999999999999,0.207,3.32,4.81,3.87,2.1853967835629837,0.49683100671887725,0.32961779929141816,2.0744397132050545,0.7017890858930278,0.28819203874706695,152.62279694227266,28.39314725347254,3,12
2022,TB,2,0,2,10,22.0,10.64,1.23,0.82,0.229,0.987,0.6,0.143,1.23,2.61,2.37,1.8318662777773513,0.5755866763653522,0.476361438642948,7.5272054480166615,0.893858069031568,0.8153981735123961,241.84309338879194,72.64871212735738,5,9
2024,DET,7,4,3,36,61.0,8.26,2.07,0.59,0.273,0.745,0.444,0.065,3.25,3.12,3.8,2.254413787769917,0.21129366629848195,0.2025700711362337,3.9958075556153676,0.8976949801345447,0.5661042047367425,220.8425969933036,49.65843551051951,4,12
2018,COL,4,1,3,23,39.2,9.3,4.76,0.91,0.291,0.83,0.476,0.133,3.18,3.99,3.93,2.115106474693763,0.2809727680805868,0.39557044690344406,3.8641494641339484,0.7203928275120802,0.40738639908585705,180.15354653079146,38.758082636645234,3,11
2019,TB,6,3,3,35,51.0,10.76,2.65,1.06,0.318,0.7879999999999999,0.312,0.095,2.82,3.23,4.16,1.8316044513180545,0.46460700949908484,0.7096065586149991,6.701041873832856,0.7728341216231188,0.8630048619100589,479.2668619013674,47.821164715607836,6,11
2021,MIL,4,1,3,17,34.0,8.74,3.44,1.06,0.286,0.838,0.447,0.103,3.18,4.08,4.58,2.1535770382512927,0.3631457741603712,0.5306964774296363,4.818778148047821,0.76327037489318,0.633483600661236,224.4528027081691,70.71791772414481,4,10
2024,NYY,14,8,6,77,127.1,8.13,3.68,0.99,0.266,0.741,0.372,0.09,3.46,4.11,4.52,2.181808709124604,0.8658988407599095,0.4160160542226075,4.848232116212865,0.8625448509070491,0.6937452812389909,570.1246537166671,58.58727527913443,6,13
2023,MIN,6,3,3,30,53.0,9.51,2.38,1.7,0.293,0.868,0.34,0.147,3.4,4.5,4.17,0.8548393342160256,0.35278405436743476,0.3770158482653888,4.655482515506592,0.6185896433339393,0.5965631811599401,369.33371473882323,52.50940736324411,3,12
2024,BAL,2,0,2,10,18.0,7.0,3.0,0.0,0.28,0.8640000000000001,0.48,0.0,1.5,2.94,4.62,1.9103597869825804,0.25416151066278825,0.3603068164779663,3.6849460344577953,1.0527672238919297,0.5732715656480013,233.56080757997415,44.654806588175965,3,9
2017,WSH,5,2,3,23,44.0,10.64,3.68,0.41,0.25,0.693,0.4539999999999999,0.063,2.66,2.88,3.59,2.277052640670641,0.427329024286355,0.3918773821974967,4.949509588562819,0.9860203500002815,0.4472559048051812,152.12901275523214,44.662676886946564,3,9
2022,NYY,9,3,6,39,79.2,7.91,2.71,1.02,0.285,0.7829999999999999,0.442,0.105,3.28,3.88,4.01,1.0552761805495448,0.3689897627465318,0.28110589225866206,5.645620412662473,0.9521014134266798,0.64240676428838,253.1083777974823,65.95750329758972,6,12
2018,CHC,1,0,1,9,13.0,9.0,2.08,0.0,0.306,0.857,0.472,0.0,1.38,1.85,3.25,2.4895241719361345,0.7354662446031718,0.6163151013175927,2.464613546326738,0.8287876527318324,0.4269923650125967,168.51550361393203,42.57802672670032,3,9
2019,STL,9,3,6,44,79.0,10.25,3.08,0.8,0.321,0.7140000000000001,0.421,0.089,3.42,3.23,4.06,1.6966558990100993,0.5063165926635523,0.42768824863863547,6.606951329552351,0.7866247225475216,0.7764888108888057,191.86298588255627,52.52390200680078,4,12
2017,CLE,5,2,3,28,47.0,12.26,4.02,1.34,0.264,0.763,0.418,0.179,2.68,3.77,3.31,2.0884352513974584,0.6375572552259384,0.5612616625660943,6.429018982060901,0.627778423192919,0.7069145008401222,217.0238822970447,43.21762084993391,5,11
2017,HOU,18,11,7,70,159.0,9.51,2.94,1.19,0.274,0.726,0.411,0.133,4.13,3.91,3.96,1.2337357504542994,0.48170242652869383,0.3248948390849164,4.5589833202328744,0.9391253489723,0.6606553900062712,249.1608672065802,66.06991223606994,5,12
2023,TOR,2,0,2,11,16.0,11.81,6.19,1.13,0.286,0.8959999999999999,0.583,0.182,2.81,4.51,4.02,1.950229381843872,0.37281950245079787,0.39439769376145783,4.454563833042122,0.9864437152293061,0.544818235390324,361.5844179595896,55.00252966315609,4,10
2021,SF,5,2,3,25,44.0,8.39,2.45,0.61,0.295,0.723,0.469,0.07,3.48,3.08,3.92,2.181221103374527,1.3552859254325151,0.2515422763781639,4.020291238151206,0.9128184523010556,0.7976835233562919,175.61290806286448,69.2210728992665,3,12
2022,SD,12,6,6,48,103.0,9.7,3.15,1.49,0.263,0.7909999999999999,0.321,0.13,3.84,4.3,4.03,2.351298946758859,0.8889910049175455,0.4366213592014445,6.410223265376465,0.8961593916712258,0.7767144243124231,339.7769889317192,65.65497485126015,5,13
2022,SEA,5,2,3,28,52.2,8.72,1.54,1.37,0.275,0.795,0.315,0.111,3.76,4.12,4.17,2.0212939839532513,0.6866516021521345,0.5221003200678094,5.400752391137436,0.9418598841040388,0.5716242752489199,220.60393275469195,68.65806839868036,3,12
2019,LAD,5,2,3,26,45.0,8.4,4.0,1.0,0.267,0.736,0.4029999999999999,0.098,4.2,4.33,5.14,2.011795092794071,0.7392963343752244,0.4107169322338084,4.646826201371821,0.8450978011673642,0.8538094430385171,365.1884326070979,57.614860353832775,5,12
2021,HOU,16,9,7,91,140.0,9.9,3.41,1.61,0.291,0.769,0.4629999999999999,0.179,4.44,4.58,4.02,1.3841792194154385,0.4164407907728503,0.3717312764369469,2.7500128508013777,0.6032716325316589,0.4017625731832105,158.86709782072543,23.393132009733105,3,14
2021,STL,1,0,1,5,8.2,7.27,4.15,2.08,0.217,0.976,0.375,0.222,3.12,5.94,4.77,1.8172350708433054,0.4209973472504665,0.438063883062134,10.072527374649535,1.224211761384587,1.1456173102226939,326.9577855154574,76.33762077666105,3,5
2024,CLE,10,4,6,65,89.0,10.82,4.15,1.21,0.299,0.76,0.36,0.129,3.64,4.07,3.89,1.8266834790736648,0.2704336318407035,0.4147157439084543,4.334150770181598,0.6513427673882559,0.5802472696505891,290.35853671860724,45.51496239292524,5,14
2018,HOU,8,4,4,35,71.0,8.62,3.3,0.89,0.243,0.6559999999999999,0.482,0.1009999999999999,4.18,3.79,4.12,1.4404776513917708,0.8230605052930059,0.21049759316579983,5.385676011640444,0.8345673252782345,0.5937216918145646,221.33994459764398,51.94058507945892,5,13
2022,LAD,4,1,3,22,34.0,11.91,3.18,1.06,0.326,0.755,0.409,0.108,3.71,3.05,3.14,2.068258295045595,0.37660056138246334,0.3402314600075072,4.684071642583718,0.9842101433378411,0.5489135600481115,338.10181642157727,60.63767284076058,5,12
2024,HOU,2,0,2,10,18.0,11.5,6.0,0.5,0.356,0.7609999999999999,0.444,0.091,4.0,3.33,3.53,1.9901708737978219,0.22630824308047726,0.30776449528855154,2.915983138837187,0.718464208500627,0.6758522103660225,239.94644594322577,51.70931197568264,3,9
2024,SD,7,4,3,33,61.0,9.0,2.07,1.62,0.245,0.746,0.425,0.172,3.69,4.25,3.49,1.8700395469050037,0.6633653211726513,0.44157087843925535,4.313089739836528,0.9549648183369998,0.5819319896279391,220.58786446742099,44.09712801876755,4,13
2019,MIL,1,0,1,4,8.0,7.88,1.13,1.13,0.19,0.536,0.409,0.111,3.38,3.84,4.45,2.292543174912618,0.5378440373613983,0.8430393273144965,3.9910870345049907,0.6844819669717844,0.27846817141550306,146.53407583215719,26.752275825327374,2,4
2022,STL,2,0,2,9,18.0,7.0,4.5,0.5,0.174,0.645,0.444,0.053,4.0,4.11,4.95,1.886310879761376,0.4081861218584726,0.30721257925414575,3.2123055101766416,0.8371581576688422,0.3682231136282846,203.0919057270315,29.78162527190874,2,7
2019,OAK,1,0,1,5,9.0,12.0,2.0,4.0,0.167,1.0,0.409,0.364,5.0,6.99,3.65,2.8286124653678515,0.316648118713161,0.6632797487897772,5.590171649704377,0.8478513302061607,0.7644613571925475,199.55506210983486,73.24622650630232,3,5
2023,MIL,2,0,2,12,18.0,10.5,5.0,2.0,0.268,0.722,0.511,0.235,5.5,5.48,4.15,2.2777434462409536,0.6371173540509575,0.4166082284217175,6.9925568743776605,0.8774121452462733,0.6335545481090276,297.1972234128505,78.91788296758331,6,9
2023,HOU,11,6,5,54,99.0,9.73,3.36,1.82,0.268,0.767,0.357,0.163,4.55,5.08,4.51,0.7588911907700873,0.5120029351715788,0.3855800613760025,6.373010961254121,0.8460809087927924,0.8363436798945867,302.37122514532894,61.01275762010071,4,12
2021,NYY,1,0,1,5,8.0,10.13,7.88,2.25,0.294,0.7140000000000001,0.421,0.2,6.75,6.8,5.75,0.4208106704633577,0.3513048555166801,0.24650322892222384,1.305130405655776,0.4016678771238775,0.46902019307316284,119.98381553856916,6.344569565234931,2,5
2024,MIL,3,1,2,17,27.0,8.0,3.33,0.33,0.253,0.57,0.421,0.031,4.33,3.31,4.63,1.6178264183914288,0.44262030448198897,0.5992911956794484,4.728720114907937,0.7702431309745666,0.5472974437852524,200.55159619435855,48.72819071971068,4,11
2024,ATL,2,0,2,9,16.0,6.19,1.69,1.69,0.25,0.6759999999999999,0.4,0.158,5.06,4.98,4.34,1.9504222195653778,0.4935345193418312,0.4198260210016431,4.60774355883365,0.6049981552846568,0.6399320556854707,314.04845460655577,83.1177591414807,5,9
2023,ATL,4,1,3,19,34.0,10.06,5.03,2.91,0.298,0.889,0.34,0.25,4.5,7.08,5.01,1.983838956982165,0.3805124831896595,0.430099507190671,4.821016429336023,0.7142781742581306,0.645747115233244,272.9335656294444,62.966617235275166,6,12
2019,ATL,5,2,3,29,45.2,9.26,3.15,0.79,0.313,0.632,0.492,0.103,4.73,3.41,3.97,1.7853092294819952,0.8949602411795196,0.39890795068548446,4.494083629631954,0.7620404858401929,0.5444697799929943,195.09691475255136,52.40848906869878,4,11
2023,MIA,2,0,2,10,16.0,12.38,2.25,1.13,0.381,0.573,0.295,0.105,5.63,2.88,3.22,2.560564094887569,0.33980689007716974,0.4406859831448077,4.742998441757407,0.9406757349265696,0.45989514564789025,223.87662284250874,56.522689305257664,4,10
2023,TB,2,0,2,8,18.0,10.5,4.0,1.0,0.377,0.7090000000000001,0.345,0.091,5.0,3.87,4.44,2.0964141668646366,0.32404452756929125,0.42095446475178644,4.186681949170014,1.00948695812004,0.4244110517252143,280.11980627814785,35.418027129157096,5,8
2018,OAK,1,0,1,6,8.0,6.75,4.5,2.25,0.227,0.488,0.4579999999999999,0.25,7.88,6.41,4.81,0.6838755220945012,0.1904146141468248,0.31642545873905187,2.295468551912286,0.6894994094854284,0.4921641888459993,157.26745209724663,38.84116755897566,3,6
2024,LAD,16,11,5,86,142.0,7.86,4.18,1.39,0.256,0.765,0.382,0.122,4.5,5.08,5.0,1.3959195442378858,0.3135687631052761,0.40751737526312176,4.973791170772939,0.7691314558117552,0.6241680704272281,174.7509958502947,60.20573588744316,4,16
2017,MIN,1,0,1,6,8.0,5.63,5.63,3.38,0.24,0.612,0.286,0.188,9.0,8.66,7.34,2.052241874853151,0.6698803475066022,0.5240786641269649,4.133881658927883,0.9640705166365767,0.5740817455326089,200.70153496936342,52.04893714919855,3,6
2018,ATL,4,1,3,24,34.0,9.26,7.15,2.12,0.215,0.789,0.412,0.235,4.76,6.63,5.22,1.822802194923147,0.4786116418485591,0.4217809173555822,2.424195479408779,0.8255493682369242,0.3489048216174916,119.68484038293722,38.70593711342538,2,12
2022,NYM,3,1,2,16,27.0,10.33,4.0,1.67,0.284,0.71,0.478,0.2,5.33,4.78,3.74,1.4849546502732323,0.35657337436030667,0.5205757906096972,6.301887520477462,0.9252552875019024,0.9038372787486345,336.70735173545165,70.88300489696037,5,10
2021,BOS,11,6,5,60,100.0,9.0,2.61,1.62,0.283,0.675,0.359,0.145,4.86,4.47,4.32,2.1856328061118626,0.37249759084412065,0.4191082955187434,4.224966148339445,0.837035016154947,0.43620522562355624,166.37108828096035,50.1462008774591,5,16
2017,CHC,10,4,6,46,87.2,8.42,5.44,1.64,0.241,0.758,0.417,0.176,4.52,5.58,5.05,2.345819569637503,0.23674819211574857,0.20856061156902234,3.0020540394568727,0.7989887186399062,0.2424632678918879,228.08814998503073,34.68312078420771,2,12
2018,NYY,5,2,3,25,44.0,8.59,4.7,1.02,0.3,0.639,0.481,0.119,5.93,4.36,4.46,1.9982176218926726,0.31181022557733173,0.3765190182690921,4.230627859733634,0.5757545668582764,0.4833827684852923,149.8640662121038,35.825339344803275,4,13
2022,TOR,2,0,2,12,18.0,10.0,3.0,1.0,0.34,0.556,0.4,0.105,7.0,3.67,3.79,1.5625216903867623,1.3588458872657252,0.3854480637942482,6.003792410694126,0.8996965846150456,0.6594245606968762,164.51911080221788,64.73058107619244,3,9
2021,TB,4,1,3,27,39.0,6.0,1.62,2.08,0.356,0.7340000000000001,0.413,0.17,6.0,5.38,4.77,1.3729459983342285,0.4875867401778474,0.2902873959897736,5.833776838864662,0.7817444802928613,0.7251331140143065,261.22021163603745,59.59266853224168,5,13
2023,LAD,3,0,3,17,26.0,9.0,3.81,3.12,0.282,0.782,0.455,0.36,6.58,7.26,4.34,1.652167621343692,0.38538280117460744,0.3870092541002359,5.028223820462411,0.8180140577793061,0.5361501269680964,128.94757544245908,59.49180768725404,4,12
2017,BOS,4,1,3,20,34.0,7.94,3.71,2.12,0.376,0.7659999999999999,0.293,0.16,6.35,5.95,5.51,2.216744084895452,0.4386518772701826,0.4149416392898385,3.9883934682920237,0.964496079010288,0.44197906693826144,226.09470205347657,49.47143297791177,3,11
2017,COL,1,0,1,8,8.0,12.38,4.5,2.25,0.536,0.5489999999999999,0.414,0.222,12.38,5.16,3.91,1.9650937391861905,0.6083014203125718,0.36631873025177336,5.073585694591639,0.7071281348560038,0.502623663877608,73.4056360473542,34.71636660564036,3,8
2024,PHI,4,1,3,21,34.0,11.65,4.76,1.85,0.341,0.7140000000000001,0.337,0.206,5.82,5.02,3.85,2.075796808300061,0.48847938954418885,0.4038568887686781,5.712909304784681,0.8600380011974206,0.7676163384511244,324.56270524819183,68.21072952887293,6,11
2022,ATL,4,1,3,19,34.0,9.26,2.91,1.32,0.32,0.595,0.37,0.114,5.82,4.11,4.12,1.6374369951582974,0.5236809552770448,0.3300532534683349,6.1593385861215655,0.7711755894055032,0.8389522077836392,317.2505780704912,66.42819056854232,6,12
2023,BAL,3,0,3,19,26.0,9.69,6.23,1.73,0.342,0.659,0.385,0.152,7.27,5.68,5.28,1.7704174288009704,0.5252815442416252,0.4438809843367689,3.4783403357458225,0.8530103880957213,0.6298090218050159,181.17525224769673,53.66919355034857,4,12
2018,CLE,3,0,3,15,25.0,8.64,5.04,2.88,0.356,0.754,0.4,0.258,7.2,7.44,5.33,2.004842711674163,1.2044034951752967,0.6790750668090079,5.028258566167344,0.5362178216783835,0.8274027782750144,207.14544733940534,68.52988342101001,4,9
2019,MIN,3,0,3,17,25.0,9.72,6.12,1.8,0.348,0.61,0.301,0.147,7.56,5.93,6.04,1.711450478505312,0.46023482971547586,0.42081101830084466,5.22787926928707,0.945544889796413,0.43449789377002257,237.63999158819286,46.28704998054152,3,12
2017,AZ,4,1,3,20,34.0,8.74,4.5,1.32,0.364,0.618,0.431,0.143,6.88,4.72,4.64,1.884932684673437,0.26787694290436703,0.31998116736284,6.2429278254293425,0.8748263079014135,0.863313303334554,260.2391626973935,60.46787623390851,5,10
2021,CWS,4,1,3,23,34.0,10.85,4.76,1.06,0.371,0.524,0.444,0.103,7.94,3.96,4.46,1.8769541232330234,0.5342677016472897,0.3358258069786707,3.0111521638969085,0.6800736551197759,0.5001334631410785,147.68220501483356,32.26639421398845,3,12
2024,NYM,13,7,6,54,113.2,8.71,4.99,1.5,0.277,0.718,0.412,0.146,4.91,5.28,4.83,2.388493768634956,0.4764906637816799,0.5266572538360644,4.9316578885390046,0.9658661501754645,0.49621358234048435,309.1668663331026,47.9567078893094,5,12
